,id,subtitle,sq_mt_built,n_rooms,n_bathrooms,n_floors,raw_address,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,built_year,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_parking
5315,16427,"San Diego, Madrid",80.0,3,1.0,0.0,"Calle de Peña de la Atalaya, 118",120000,1500,0,0,0.0,1,0,0,0,0,0
5316,16426,"Entrevías, Madrid",90.0,1,1.0,2.0,"peñarroya, 200",160000,1778,0,0,0.0,0,0,0,0,0,0
5317,16425,"San Diego, Madrid",77.0,2,1.0,0.0,"Calle del Pico Cebollera, 45",162000,2104,0,0,0.0,1,0,0,0,0,0
5318,16424,"San Diego, Madrid",80.0,2,1.0,0.0,"Calle Palomeras, 14",120000,1500,0,0,0.0,1,0,0,0,1,0
5319,16423,"San Diego, Madrid",29.0,1,1.0,0.0,"Calle de García Llamas, 19",58000,2000,0,0,0.0,1,0,0,0,0,0
5320,16422,"Palomeras sureste, Madrid",89.0,2,2.0,0.0,Calle de la Maquinilla s/n,224999,2528,0,0,2006.0,1,0,1,0,0,1
5321,16421,"Entrevías, Madrid",62.0,2,1.0,0.0,Calle de Mejorana,107000,1726,0,0,1979.0,1,0,0,1,1,0
5322,16420,"Numancia, Madrid",56.0,0,1.0,0.0,Calle Sanz Raso,129000,2304,1,0,1900.0,0,0,0,0,0,0
5323,16419,"Entrevías, Madrid",65.0,2,1.0,0.0,Calle Buendía,123900,1906,0,0,1965.0,1,0,0,0,1,0
5324,16418,"San Diego, Madrid",39.0,2,1.0,0.0,Calle del Monte Perdido,89000,2282,0,0,1940.0,1,0,0,0,1,0
5325,16417,"Entrevías, Madrid",80.0,3,1.0,0.0,ENTREVÍAS,190000,2375,0,0,0.0,0,0,0,1,0,0
5326,16416,"San Diego, Madrid",84.0,4,1.0,0.0,"Avenida del Monte Igueldo, 67",199000,2369,0,0,2012.0,1,0,0,0,0,0
5327,16415,"San Diego, Madrid",60.0,3,1.0,0.0,Calle San Moisés,135000,2250,0,0,1965.0,1,0,0,0,0,0
5329,16413,"San Diego, Madrid",70.0,3,1.0,0.0,Calle de Manuel Maroto,88782,1268,0,0,0.0,0,0,0,0,0,0
5330,16412,"Palomeras Bajas, Madrid",70.0,3,1.0,0.0,Calle Higinio Rodríguez,137000,1957,0,0,1971.0,1,0,0,1,0,0
5331,16411,"Numancia, Madrid",76.0,3,1.0,0.0,"Portazgo, 1",145000,1908,0,0,0.0,1,0,0,1,0,0
5332,16410,"San Diego, Madrid",63.0,1,1.0,0.0,"Calle Convenio, 91",135000,2143,0,0,2000.0,1,0,0,1,0,0
5333,16409,"Numancia, Madrid",60.0,2,1.0,0.0,puerto de tarancon,105000,1750,0,0,0.0,1,0,0,1,0,0
5334,16408,"Palomeras sureste, Madrid",66.0,3,1.0,0.0,"Calle de San Claudio, 38",160000,2424,0,0,0.0,1,0,0,1,0,0
5335,16407,"Portazgo, Madrid",71.0,2,1.0,0.0,Calle SIERRA SALVADA,210000,2958,0,0,2001.0,1,0,0,0,0,1
5336,16406,"San Diego, Madrid",42.0,1,1.0,0.0,Calle del Pico Cebollera,83000,1976,0,0,0.0,0,0,0,0,0,0
5337,16405,"Palomeras sureste, Madrid",60.0,2,1.0,0.0,Avenida de Miguel Hernández,110000,1833,0,0,0.0,1,0,0,1,0,0
5338,16404,"San Diego, Madrid",40.0,2,1.0,0.0,Calle Sierra de Algodonales,89900,2248,0,0,0.0,0,0,0,0,0,0
5339,16403,"Palomeras Bajas, Madrid",86.0,3,1.0,0.0,Calle Sierra de Almijara,149000,1733,0,0,0.0,0,0,0,0,0,0
5340,16402,"San Diego, Madrid",44.0,2,1.0,0.0,Calle del Doctor Fernando Primo de Rivera,105000,2386,0,0,0.0,0,0,0,0,0,0
5341,16401,"Numancia, Madrid",83.0,2,1.0,0.0,Calle Moreras,189000,2277,0,0,2000.0,0,0,0,0,0,1
5342,16400,"Palomeras sureste, Madrid",30.0,1,1.0,0.0,Calle Torremolinos,79000,2633,0,0,1966.0,1,0,0,0,0,0
5343,16399,"San Diego, Madrid",90.0,3,1.0,0.0,Calle del Vizconde de Arlessón s/n,104000,1156,0,0,1975.0,1,0,0,0,0,0
5344,16398,"Numancia, Madrid",52.0,3,1.0,0.0,"Calle Alfonso XIII, 2",125000,2404,0,0,0.0,0,0,0,1,0,0
5345,16397,"Numancia, Madrid",39.0,1,1.0,0.0,sierra madrona,123000,3154,0,0,0.0,1,0,0,1,0,0
5346,16396,"Palomeras Bajas, Madrid",103.0,3,1.0,0.0,"Calle Pena Trevinca, 9",140000,1359,0,0,1956.0,1,0,0,1,0,0
5347,16395,"Numancia, Madrid",95.0,4,1.0,0.0,Calle José Paulete,156000,1642,0,0,0.0,1,0,0,0,0,0
5348,16394,"San Diego, Madrid",50.0,2,1.0,0.0,PEÑA DE LA ATALAYA,115000,2300,0,0,1961.0,1,0,0,0,0,0
5349,16393,"San Diego, Madrid",60.0,1,1.0,0.0,Calle Eduardo Requenas,135000,2250,0,0,0.0,0,0,0,0,0,0
5350,16392,"Entrevías, Madrid",85.0,3,2.0,2.0,Calle Villarta,150000,1765,0,0,0.0,0,0,0,1,0,0
5351,16391,"Palomeras sureste, Madrid",58.0,2,1.0,0.0,Calle del Campo de la Paloma,111000,1914,0,0,0.0,1,0,0,1,0,0
5352,16390,"Entrevías, Madrid",59.0,2,1.0,0.0,Calle de Calero Pita,95000,1610,0,0,1970.0,1,0,0,0,1,0
5353,16389,"Entrevías, Madrid",92.0,2,1.0,0.0,Calle Cerro de la Alcazaba,105000,1141,0,0,1971.0,1,0,0,1,0,0
5354,16388,"Entrevías, Madrid",97.0,3,2.0,0.0,Calle Cabo de Tarifa,109000,1124,1,0,1986.0,1,0,0,1,0,0
5355,16387,"Numancia, Madrid",48.0,2,1.0,0.0,Avenida de Peña Prieta,110000,2292,1,0,1930.0,1,0,0,0,1,0
5356,16386,"Palomeras sureste, Madrid",63.0,2,1.0,0.0,Calle de San Claudio,115000,1825,0,0,1969.0,1,0,0,1,0,0
5357,16385,"San Diego, Madrid",142.0,4,1.0,0.0,Calle de Tomás García,145000,1021,1,0,0.0,1,0,0,0,0,0
5358,16384,"Numancia, Madrid",59.0,2,1.0,0.0,Calle de Venancio Martín,135000,2288,0,0,1960.0,1,0,0,0,0,0
5359,16383,"Palomeras sureste, Madrid",63.0,2,1.0,0.0,Calle de San Claudio,120000,1905,1,0,1965.0,1,0,0,1,0,0
5360,16382,"San Diego, Madrid",37.0,0,1.0,0.0,Calle Puerto de Almansa,97000,2622,0,0,2010.0,1,0,0,0,0,0
5361,16381,"Numancia, Madrid",53.0,2,1.0,0.0,"Calle de la Sierra de Meira, 58",160000,3019,0,0,2006.0,0,0,0,0,0,0
5362,16380,"Palomeras Bajas, Madrid",60.0,2,1.0,0.0,Calle de Peña Redonda,125000,2083,0,0,0.0,1,0,0,0,0,0
5363,16379,"San Diego, Madrid",81.0,3,1.0,0.0,Calle de Albalate del Arzobispo,115000,1420,0,0,0.0,1,0,0,1,0,0
5364,16378,"Portazgo, Madrid",71.0,3,1.0,0.0,MARCHAMALO,159995,2253,0,0,1974.0,1,0,0,0,0,0
5365,16377,"Portazgo, Madrid",40.0,2,1.0,0.0,Rio de la Plata,85000,2125,0,0,0.0,1,0,0,0,0,0
5366,16376,"Numancia, Madrid",85.0,3,1.0,0.0,"Calle Bustos, 6",199800,2351,0,0,0.0,1,0,0,0,1,0
5367,16375,"Palomeras Bajas, Madrid",90.0,2,1.0,0.0,"Calle Hermanos García, 125",155000,1722,0,0,0.0,1,0,0,1,0,0
5368,16374,"Numancia, Madrid",106.0,3,1.0,0.0,"Calle de Ramón Pérez de Áyala, 74",190000,1792,0,0,1981.0,1,0,0,0,0,0
5369,16373,"Numancia, Madrid",100.0,3,2.0,0.0,"Calle de Sierra Toledana, 31",305000,3050,0,0,2002.0,1,0,1,1,0,1
5370,16372,"Numancia, Madrid",105.0,2,2.0,0.0,"Calle Francisco Iglesias, 21",232000,2210,0,0,0.0,1,0,0,1,1,0
5371,16371,"Numancia, Madrid",49.0,2,1.0,0.0,Calle del Monte Oliveti,101700,2076,1,0,1915.0,1,0,0,1,0,0
5372,16370,"Numancia, Madrid",70.0,2,1.0,0.0,"Camino de Valderribas, 79",276000,3943,0,0,2009.0,1,0,1,1,1,1
5373,16369,"Palomeras Bajas, Madrid",90.0,3,2.0,0.0,"Calle de Javier de Miguel, 19",220000,2444,1,0,1982.0,1,0,0,1,0,1
5374,16368,"Numancia, Madrid",139.0,3,2.0,0.0,"Calle Sierra de Cuerda Larga, 47",300000,2158,0,0,0.0,1,0,0,0,1,1
5375,16367,"Palomeras sureste, Madrid",140.0,4,2.0,0.0,"Avenida Pablo Neruda, 11",320000,2286,0,0,0.0,1,0,0,1,1,0
5376,16366,"Palomeras Bajas, Madrid",78.0,3,1.0,0.0,"Calle Pico de Alba, 6",165000,2115,0,0,0.0,1,0,0,0,0,0
5377,16365,"Palomeras Bajas, Madrid",53.0,2,1.0,0.0,Calle Hermanos Trueba,154900,2923,1,0,0.0,1,0,0,0,0,1
5378,16364,"Numancia, Madrid",114.0,3,2.0,0.0,"Calle de la Sierra de los Filabres, 85",245000,2149,0,0,0.0,1,0,0,0,0,1
5379,16363,"Palomeras Bajas, Madrid",120.0,3,2.0,0.0,"Avenida de Pablo Neruda, 120",340000,2833,0,0,0.0,1,0,0,1,0,1
5380,16362,"Entrevías, Madrid",105.0,4,2.0,0.0,"Calle de Membezar, 29",146500,1395,0,0,0.0,1,0,0,1,0,0
5381,16361,"Numancia, Madrid",74.0,2,2.0,0.0,"Calle de la Filósofa Simone Weil, 4",275000,3716,0,0,2005.0,1,0,0,1,0,1
5382,16360,"Numancia, Madrid",121.0,2,1.0,0.0,Calle Sierra de Segura,189000,1562,0,0,0.0,1,0,0,0,0,1
5383,16359,"Palomeras sureste, Madrid",120.0,4,2.0,0.0,"Calle Villalobos, 137",285000,2375,0,0,1991.0,1,0,0,1,0,1
5384,16358,"Numancia, Madrid",77.0,3,1.0,0.0,"Calle Alfonso XIII, 8",125510,1630,1,0,1965.0,1,0,0,0,0,0
5385,16357,"Palomeras sureste, Madrid",67.0,1,2.0,0.0,Calle Rafael Fernández Hijicos,59000,881,1,0,0.0,1,0,0,0,0,0
5386,16356,"Numancia, Madrid",131.0,3,2.0,0.0,"Alto del León, 16",265000,2023,0,0,0.0,1,0,0,1,0,1
5387,16355,"San Diego, Madrid",45.0,2,1.0,0.0,"Calle de Teresa Maroto, 8",120000,2667,0,0,0.0,1,0,0,0,0,0
5388,16354,"Palomeras sureste, Madrid",86.0,2,2.0,0.0,"Calle Maquinilla, 13",234000,2721,0,0,0.0,1,0,1,0,0,1
5389,16353,"Portazgo, Madrid",50.0,2,1.0,0.0,Calle Diego Manchado,92000,1840,1,0,0.0,1,0,0,1,0,0
5390,16352,"Palomeras Bajas, Madrid",61.0,2,1.0,0.0,Calle de Julia Mediavilla,99000,1623,1,0,0.0,1,0,0,1,1,0
5391,16351,"San Diego, Madrid",50.0,2,1.0,0.0,Calle de la Virgen,125000,2500,0,0,1915.0,1,0,0,0,0,0
5392,16350,"Palomeras Bajas, Madrid",80.0,2,2.0,0.0,Calle Monte Calobro,157000,1962,0,0,0.0,1,0,0,0,0,0
5393,16349,"Palomeras Bajas, Madrid",70.0,2,2.0,0.0,Calle Monte Calobro,137000,1957,0,0,0.0,1,0,0,0,0,0
5394,16348,"Numancia, Madrid",50.0,1,1.0,0.0,Calle Sierra Madrona,119900,2398,0,0,2003.0,1,0,0,1,0,0
5395,16347,"Entrevías, Madrid",120.0,4,2.0,1.0,Calle CABO MACHICHACO,185000,1542,0,0,0.0,0,0,0,0,0,0
5396,16346,"Palomeras sureste, Madrid",90.0,2,2.0,0.0,"Calle Charleroi, 10",290000,3222,0,0,0.0,1,0,1,1,0,1
5397,16345,"Palomeras sureste, Madrid",80.0,2,2.0,0.0,"Calle Charleroi, 8",232000,2900,0,0,2006.0,1,0,1,0,0,0
5398,16344,"Numancia, Madrid",69.0,3,2.0,0.0,Calle Amadeo I,89475,1297,0,0,0.0,0,0,0,0,0,0
5399,16343,"Entrevías, Madrid",63.0,3,1.0,0.0,Calle Buendía,99900,1586,0,0,1965.0,1,0,0,1,1,0
5400,16342,"San Diego, Madrid",80.0,3,1.0,0.0,Avenida de la Albufera,180000,2250,1,0,0.0,1,0,0,0,1,0
5401,16341,"San Diego, Madrid",68.0,3,1.0,0.0,"Calle Puerto de la Bonaigua, 42",194000,2853,0,0,0.0,0,0,0,1,0,0
5402,16340,"Entrevías, Madrid",47.0,3,1.0,0.0,Calle Buendía,130000,2766,0,0,1965.0,1,0,0,1,0,0
5403,16339,"San Diego, Madrid",86.0,3,1.0,0.0,"Calle Peña de la Miel, Madrid",105000,1221,0,0,1965.0,1,0,0,0,0,0
5404,16338,"Palomeras Bajas, Madrid",133.0,3,2.0,0.0,"Travesía Felipe de Diego, 25",165000,1241,0,0,0.0,1,0,0,1,1,1
5405,16337,"Palomeras Bajas, Madrid",65.0,1,1.0,0.0,"Calle Teniente Muñoz Díaz, 11",130000,2000,0,0,0.0,1,0,0,0,0,0
5406,16336,"Entrevías, Madrid",68.0,3,1.0,0.0,Ronda DEL SUR,101000,1485,1,0,0.0,1,0,0,0,0,0
5407,16335,"Numancia, Madrid",73.0,2,1.0,0.0,"Calle de Venancio Martín, 3",205000,2808,0,0,0.0,1,0,0,0,0,0
5408,16334,"San Diego, Madrid",42.0,2,1.0,0.0,Calle Sierra de Algodonales,85000,2024,0,0,0.0,1,0,0,0,0,0
5409,16333,"San Diego, Madrid",58.0,1,1.0,0.0,"Calle de Argente, 25",157900,2722,0,0,1994.0,1,0,0,0,0,0
5410,16332,"Palomeras sureste, Madrid",128.0,3,2.0,0.0,"Calle de la Maquinilla, Madrid",380000,2969,0,0,2007.0,1,0,1,1,0,1
5411,16331,"Palomeras sureste, Madrid",67.0,1,1.0,0.0,"Calle Yesero, 16",215000,3209,0,0,0.0,1,0,1,0,0,1
5412,16330,"Palomeras sureste, Madrid",115.0,3,2.0,0.0,"Avenida de la Albufera, 422",340000,2957,0,0,2006.0,1,0,1,1,0,1
5413,16329,"Palomeras sureste, Madrid",92.0,2,2.0,0.0,"Calle de la maquinilla, 8",240000,2609,0,0,0.0,1,0,1,0,0,1
5414,16328,"Palomeras sureste, Madrid",47.0,2,1.0,0.0,"Avenida Rafael Alberti, 53",170000,3617,0,0,0.0,1,0,0,0,0,0
5418,16324,"Palomeras Bajas, Madrid",50.0,2,1.0,0.0,Calle Juan Portas,70000,1400,1,0,0.0,1,0,0,0,0,0
5419,16323,"Numancia, Madrid",70.0,3,1.0,0.0,Camino de Valderribas,150000,2143,0,0,1975.0,1,0,0,1,0,0
5420,16322,"Numancia, Madrid",58.0,2,1.0,0.0,Calle del Puerto Canfranc,138000,2379,0,0,1973.0,1,0,0,0,0,0
5421,16321,"San Diego, Madrid",126.0,4,2.0,0.0,Calle de Martínez de la Riva,210000,1667,0,0,0.0,1,0,0,1,0,0
5422,16320,"Numancia, Madrid",56.0,2,1.0,0.0,Calle de la Sierra de Meira,142500,2545,1,0,2006.0,0,0,0,0,0,0
5423,16319,"Palomeras Bajas, Madrid",92.0,3,1.0,0.0,juan antonio maroto,155000,1685,0,0,0.0,1,0,0,1,0,0
5424,16318,"Numancia, Madrid",106.0,3,1.0,0.0,Calle de Ramón Pérez de Áyala,183000,1726,0,0,1981.0,1,0,0,1,0,0
5425,16317,"Palomeras Bajas, Madrid",84.0,4,1.0,0.0,Calle de Carlos Martín Álvarez,145000,1726,0,0,0.0,1,0,0,1,0,0
5426,16316,"Palomeras Bajas, Madrid",60.0,3,1.0,0.0,Avenida de Buenos Aires,105000,1750,0,0,0.0,1,0,0,0,1,0
5427,16315,"Numancia, Madrid",133.0,3,2.0,0.0,Calle Sierra de Cuerda Larga,275000,2068,0,0,1988.0,1,0,0,0,0,1
5428,16314,"San Diego, Madrid",95.0,2,2.0,0.0,"Calle Lozano, Madrid",229500,2416,0,0,2001.0,1,0,0,0,0,0
5429,16313,"Palomeras sureste, Madrid",127.0,4,2.0,0.0,Calle Riojanos,229990,1811,0,0,1985.0,1,0,0,1,0,1
5430,16312,"San Diego, Madrid",80.0,1,2.0,0.0,"Calle García Llamas, 36",225000,2812,0,0,0.0,1,0,0,1,1,1
5433,16309,"Palomeras Bajas, Madrid",98.0,3,2.0,0.0,"Calle de Javier de Miguel, 7",245000,2500,0,0,0.0,1,0,0,1,0,1
5434,16308,"San Diego, Madrid",77.0,2,2.0,0.0,"Calle Puerto Alto, 57",184500,2396,0,0,1994.0,1,0,0,0,0,1
5435,16307,"Numancia, Madrid",50.0,2,1.0,0.0,"Calle Montseny, 2",113000,2260,0,0,0.0,0,0,0,0,0,0
5437,16305,"Numancia, Madrid",99.0,3,2.0,0.0,"Calle Sierra de Cuerda Larga, 12",245000,2475,0,0,0.0,1,0,0,1,0,1
5438,16304,"Palomeras sureste, Madrid",105.0,3,2.0,0.0,"Calle Riojanos, 25",190000,1810,0,0,0.0,1,0,0,1,0,1
5439,16303,"Numancia, Madrid",85.0,2,1.0,0.0,"Calle Pico de Mulhacén, 16",180000,2118,0,0,0.0,1,0,0,1,1,0
5440,16302,"Numancia, Madrid",74.0,3,1.0,0.0,"Calle Risco de Peloche, 2 -12",147400,1992,0,0,0.0,0,0,0,1,0,0
5441,16301,"Entrevías, Madrid",73.0,3,1.0,0.0,Ronda del Sur,86100,1179,0,0,0.0,1,0,0,0,0,0
5443,16299,"Palomeras sureste, Madrid",73.0,2,1.0,0.0,"Calle de la Maquinilla, 14",263000,3603,0,1,0.0,1,0,1,1,0,1
5444,16298,"Palomeras sureste, Madrid",111.0,3,2.0,0.0,"Calle de la Maquinilla, 14",411000,3703,0,1,0.0,1,0,1,1,0,1
5445,16297,"Palomeras sureste, Madrid",86.0,2,2.0,0.0,"Calle Maquinilla, 13",249000,2895,0,0,0.0,1,0,1,0,0,1
5446,16296,"Palomeras sureste, Madrid",70.0,3,1.0,0.0,san claudio,129000,1843,0,0,1969.0,1,0,0,1,0,0
5447,16295,"Numancia, Madrid",57.0,3,1.0,0.0,Plaza del Doctor Lozano,125000,2193,1,0,1959.0,0,0,0,0,0,0
5448,16294,"Palomeras Bajas, Madrid",72.0,3,1.0,0.0,Calle del Arroyo del Olivar,119900,1665,1,0,0.0,1,0,0,0,0,0
5449,16293,"Palomeras sureste, Madrid",55.0,3,1.0,0.0,Calle Vélez Málaga,114000,2073,0,0,0.0,1,0,0,1,0,0
5450,16292,"San Diego, Madrid",90.0,4,2.0,0.0,Calle María Encinas,145000,1611,0,0,1977.0,1,0,0,1,0,0
5451,16291,"Entrevías, Madrid",70.0,3,1.0,0.0,Calle Campiña,135000,1929,0,0,1972.0,1,0,0,0,1,0
5452,16290,"San Diego, Madrid",68.0,2,1.0,0.0,Calle de Manuel Maroto,114000,1676,0,0,1968.0,1,0,0,0,0,0
5453,16289,"Portazgo, Madrid",83.0,3,1.0,0.0,Calle de Ramírez Tomé,125000,1506,0,0,0.0,1,0,0,1,0,0
5454,16288,"Palomeras Bajas, Madrid",90.0,3,2.0,0.0,Calle de Carlos Martín Álvarez,195000,2167,0,0,1983.0,1,0,0,0,0,1
5455,16287,"San Diego, Madrid",83.0,2,1.0,0.0,Calle Párroco Don Emilio Franco,210000,2530,0,0,0.0,1,0,0,0,0,0
5456,16286,"Numancia, Madrid",135.0,3,2.0,0.0,Calle del Monte Oliveti,364000,2696,0,0,2002.0,1,0,1,0,0,1
5457,16285,"Palomeras sureste, Madrid",65.0,2,1.0,0.0,Avenida de Miguel Hernández,115000,1769,0,0,1985.0,1,0,0,1,0,0
5458,16284,"San Diego, Madrid",81.0,3,1.0,0.0,Avenida del Monte Igueldo,127500,1574,0,0,1974.0,1,0,0,1,0,0
5459,16283,"Entrevías, Madrid",86.0,3,1.0,0.0,Cazorla,156000,1814,0,0,1981.0,1,0,0,0,0,0
5460,16282,"Numancia, Madrid",54.0,3,1.0,0.0,Calle del Doctor Salgado,130000,2407,0,0,1958.0,1,0,0,0,0,0
5461,16281,"San Diego, Madrid",56.0,2,1.0,0.0,"Calle de García Llamas, Madrid",147000,2625,0,0,1950.0,1,0,0,1,0,0
5462,16280,"Numancia, Madrid",105.0,3,1.0,0.0,Calle Sierra de Cazalla,312000,2971,0,0,1995.0,1,0,0,1,0,1
5463,16279,"San Diego, Madrid",301.0,4,2.0,2.0,Calle del Pico Cebollera,506000,1681,0,0,1930.0,0,0,0,1,0,1
5464,16278,"San Diego, Madrid",25.0,1,1.0,0.0,Calle Sierra de Alcaraz,64000,2560,0,0,0.0,1,0,0,0,0,0
5465,16277,"San Diego, Madrid",30.0,1,1.0,0.0,Calle de la Virgen,73630,2454,1,0,1915.0,1,0,0,0,0,0
5466,16276,"Entrevías, Madrid",72.0,3,1.0,0.0,Calle Avelino Fernández de la Poza,115000,1597,0,0,1980.0,1,0,0,1,0,0
5467,16275,"Palomeras sureste, Madrid",100.0,3,2.0,0.0,Avenida Pablo Neruda,210000,2100,0,0,1986.0,0,0,0,0,0,0
5468,16274,"San Diego, Madrid",61.0,2,1.0,0.0,Calle de Julia Mediavilla,99000,1623,1,0,0.0,1,0,0,1,1,0
5469,16273,"Palomeras Bajas, Madrid",68.0,3,1.0,0.0,Plaza San Diego,129000,1897,1,0,0.0,1,0,0,1,0,0
5470,16272,"Palomeras Bajas, Madrid",75.0,3,1.0,0.0,Calle de Peña Redonda,140000,1867,0,0,0.0,1,0,0,0,0,0
5471,16271,"San Diego, Madrid",85.0,1,1.0,0.0,"Calle Lozano, 19",225000,2647,0,0,2008.0,1,0,0,1,0,0
5472,16270,"Numancia, Madrid",126.0,4,2.0,0.0,Calle Puerto de la Magdalena,255000,2024,0,0,0.0,0,0,0,1,0,0
5474,16268,"Palomeras sureste, Madrid",55.0,2,1.0,0.0,Calle Leoneses,81000,1473,1,0,0.0,1,0,0,0,0,0
5476,16266,"Portazgo, Madrid",82.0,2,1.0,0.0,Calle Calella,155000,1890,0,0,1988.0,1,0,0,1,0,0
5477,16265,"Palomeras Bajas, Madrid",103.0,3,1.0,0.0,"Calle Sierra Carbonera, 53",79900,776,1,0,1965.0,1,0,0,0,0,0
5478,16264,"Numancia, Madrid",73.0,3,1.0,0.0,"Calle Julián del Cerro, 22",160000,2192,1,0,1960.0,1,0,0,0,0,0
5479,16263,"Palomeras sureste, Madrid",143.0,4,2.0,0.0,"Avenida de Miguel Hernández, 120",305000,2133,0,0,0.0,1,0,0,1,1,1
5480,16262,"Portazgo, Madrid",79.0,3,1.0,0.0,Calle Marchamalo,149000,1886,0,0,1974.0,1,0,0,0,0,0
5481,16261,"Entrevías, Madrid",80.0,2,2.0,0.0,"Calle de Cardeñosa, Madrid",120000,1500,0,0,0.0,1,0,0,0,0,0
5482,16260,"Entrevías, Madrid",84.0,2,3.0,0.0,Calle Cerro de la Alcazaba,127500,1518,0,0,1993.0,0,0,0,0,0,0
5483,16259,"San Diego, Madrid",70.0,3,1.0,0.0,DOCTOR SANCHEZ,99000,1414,1,0,0.0,1,0,0,0,0,0
5484,16258,"San Diego, Madrid",63.0,2,1.0,0.0,"Colonia Erillas, 28",141050,2239,0,0,1955.0,1,0,0,0,0,1
5486,16256,"Palomeras sureste, Madrid",61.0,3,1.0,0.0,Alora,106000,1738,1,0,1965.0,1,0,0,1,0,0
5488,16254,"San Diego, Madrid",81.0,3,1.0,0.0,Calle de Albalate del Arzobispo,115000,1420,0,0,1958.0,1,0,0,0,0,0
5489,16253,"San Diego, Madrid",54.0,1,1.0,0.0,Calle de Martínez de la Riva,130000,2407,0,0,0.0,1,0,0,0,0,0
5490,16252,"San Diego, Madrid",64.0,2,1.0,0.0,Avenida de la Albufera,119500,1867,0,0,1915.0,1,0,0,0,0,0
5491,16251,"Numancia, Madrid",100.0,3,2.0,0.0,Calle de las Marismas,139000,1390,0,0,1987.0,1,0,0,1,0,0
5494,16248,"San Diego, Madrid",50.0,3,1.0,0.0,"Calle del Puerto de Arlabán, 75",100000,2000,0,0,1971.0,1,0,0,0,0,0
5495,16247,"Portazgo, Madrid",66.0,3,1.0,0.0,Avenida de la Albufera,135500,2053,1,0,1971.0,1,0,0,1,1,0
5496,16246,"Entrevías, Madrid",106.0,3,1.0,0.0,Calle Peironcely,146630,1383,0,0,1970.0,1,0,0,1,1,0
5497,16245,"Portazgo, Madrid",54.0,2,1.0,0.0,Calle Puerto del Pico,99000,1833,0,0,1960.0,1,0,0,0,1,0
5498,16244,"Palomeras Bajas, Madrid",84.0,3,1.0,0.0,Calle Puerto de la Bonaigua,160000,1905,0,0,0.0,1,0,0,1,1,0
5499,16243,"Portazgo, Madrid",51.0,2,1.0,0.0,"Calle Vesubio, 10",103000,2020,0,0,0.0,1,0,0,0,0,0
5500,16242,"Numancia, Madrid",110.0,3,2.0,0.0,Las Marismas,199000,1809,1,0,1987.0,1,0,0,1,0,0
5501,16241,"San Diego, Madrid",44.0,2,1.0,0.0,Calle Juan Navarro,104000,2364,0,0,0.0,0,0,0,0,0,0
5502,16240,"San Diego, Madrid",34.0,1,1.0,0.0,Calle Juan Navarro,69000,2029,1,0,0.0,0,0,0,0,0,0
5503,16239,"Entrevías, Madrid",73.0,3,1.0,0.0,Mestanza,127000,1740,0,0,0.0,1,0,0,1,0,0
5504,16238,"Entrevías, Madrid",80.0,3,1.0,2.0,vilches,102000,1275,1,0,0.0,0,0,0,1,1,0
5505,16237,"Numancia, Madrid",70.0,2,1.0,0.0,"Calle del Doctor Lozano, 21",125000,1786,1,0,0.0,1,0,0,1,1,0
5506,16236,"Palomeras Bajas, Madrid",73.0,2,1.0,0.0,"Calle Juan Portas, 29, 31, 33",226000,3096,0,1,0.0,1,0,0,1,0,0
5507,16235,"Palomeras Bajas, Madrid",58.0,1,1.0,0.0,"Calle Juan Portas, 29, 31, 33",129000,2224,0,1,0.0,1,0,0,0,0,0
5508,16234,"Palomeras Bajas, Madrid",58.0,1,1.0,0.0,"Calle Juan Portas, 29, 31, 33",145000,2500,0,1,0.0,1,0,0,0,0,0
5509,16233,"Palomeras Bajas, Madrid",77.0,2,1.0,0.0,"Calle Juan Portas, 29, 31, 33",236000,3065,0,1,0.0,1,0,0,1,0,0
5510,16232,"Palomeras Bajas, Madrid",78.0,2,1.0,0.0,"Calle Juan Portas, 29, 31, 33",177000,2269,0,1,0.0,1,0,0,0,0,0
5511,16231,"Palomeras Bajas, Madrid",59.0,1,1.0,0.0,"Calle Juan Portas, 29, 31, 33",151000,2559,0,1,0.0,1,0,0,0,0,0
5512,16230,"Palomeras Bajas, Madrid",72.0,2,1.0,0.0,"Calle Juan Portas, 29, 31, 33",172000,2389,0,1,0.0,1,0,0,0,0,0
5513,16229,"Palomeras Bajas, Madrid",78.0,2,1.0,0.0,"Calle Juan Portas, 29, 31, 33",184000,2359,0,1,0.0,1,0,0,0,0,0
5514,16228,"Palomeras Bajas, Madrid",59.0,1,1.0,0.0,"Calle Juan Portas, 29, 31, 33",145000,2458,0,1,0.0,1,0,0,0,0,0
5515,16227,"Entrevías, Madrid",80.0,3,1.0,0.0,Calle Sierra de Contraviesa,120000,1500,0,0,0.0,1,0,0,1,1,0
5516,16226,"Portazgo, Madrid",65.0,3,1.0,0.0,Calle Santiago Alió,122000,1877,0,0,0.0,1,0,0,0,0,0
5517,16225,"Portazgo, Madrid",97.0,3,2.0,0.0,"Calle de Sierra Salvada, 14",179000,1845,0,0,0.0,1,0,0,0,0,0
5518,16224,"Portazgo, Madrid",55.0,2,1.0,0.0,Calle Santillana del Mar,94000,1709,0,0,1961.0,1,0,0,0,0,0
